material_id,material_name,strength_score,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_unit,recycled_content_percent,norm_co2,norm_cost,norm_strength,norm_recyclability,norm_biodegradability,co2_impact_index,cost_efficiency_index,material_suitability_score,material_type_Fiber,material_type_Glass,material_type_Metal,material_type_Plastic,product_category_Cosmetics,product_category_E-commerce,product_category_Electronics,product_category_Food,product_category_Pharmaceuticals,product_category_Retail
1,Aluminum,8.749080237694725,15.18,0.06,9.413685517210872,49.05,108.71,82.96,0.7741042500940234,0.41150460935218786,0.7910590325352987,0.15611523201656025,0.06,0.2258957499059766,0.6695208474028067,0.3544778864793366,False,False,True,False,False,False,False,False,True,False
2,Bioplastic PLA,6.901428612819832,19.46,0.9,1.3553058384617231,50.55,60.17,32.38,0.06625037306917839,0.20902682184123805,0.48230665067343637,0.1819906848369846,0.9,0.9337496269308216,0.6675065671646316,0.666630331905145,False,False,False,False,True,False,False,False,False,False
3,Glass,8.46398788362281,7.24,0.06,1.6244204121950894,56.94,123.96,46.05,0.08988959112233186,0.4751178409043507,0.743418588749653,0.29222011385199237,0.06,0.9101104088776681,0.6122967309572508,0.5678931870479769,False,True,False,False,False,True,False,False,False,False
4,Tinplate,9.197316968394071,20.28,0.06,4.09,75.24,125.58,10.85,0.306467878559383,0.48187544320694115,0.8659617665670826,0.6079006382611695,0.06,0.6935321214406169,0.6572594407026684,0.5895508009167943,False,False,True,False,False,False,False,False,False,False
5,Bioplastic PLA,5.312037280884873,25.21,0.58,1.4122090533222045,79.69,88.42,15.98,0.07124879246115494,0.32686772619196597,0.21671093293160035,0.6846644816284285,0.58,0.9287512075388451,0.4905637374574606,0.6468702862448644,False,False,False,False,False,False,True,False,False,False
6,Rigid PVC,6.3119890406724055,9.04,0.15,4.39,64.66,28.71,56.09,0.33282009470867424,0.07779585366871063,0.38380817324727223,0.4253924443677764,0.15,0.6671799052913258,0.7068457570976825,0.5228247170601009,False,False,False,True,False,False,False,False,False,True
7,Rigid PVC,6.116167224336399,10.1,0.22,4.82,82.18,39.39,56.34,0.3705916045226584,0.12234597255245484,0.3510853095860276,0.7276177333103331,0.22,0.6294083954773416,0.6670265403029381,0.5692112313396064,False,False,False,True,False,False,False,False,False,True
8,LDPE,7.73235229154987,26.11,0.32,3.85,74.03,96.87,59.63,0.28538610563995004,0.3621157135110333,0.6211584025401831,0.5870277729860273,0.32,0.71461389436005,0.6311939329094532,0.5997040463866021,False,False,False,True,False,False,True,False,False,False
9,Rigid PVC,7.202230023486417,9.13,0.1,3.56,62.9,36.41,6.27,0.2599122966956352,0.1099153214032453,0.5325721610977865,0.3950319130584785,0.1,0.7400877033043648,0.7470796715971674,0.5560598276120756,False,False,False,True,False,False,True,False,False,False
10,Molded Pulp,6.124217733388137,24.75,0.76,1.175830022959575,77.76,92.35,81.5,0.05048508812356866,0.34326116881491675,0.35243059232843466,0.6513713989994826,0.76,0.9495149118764313,0.5350155356424238,0.6981256965062753,True,False,False,False,False,False,True,False,False,False
11,LDPE,6.041168988591605,4.34,0.3,4.16,74.3,34.72,55.51,0.31261672899421766,0.10286572393943186,0.33855270678910665,0.5916853544937036,0.3,0.6873832710057823,0.6737016483519835,0.571832734967382,False,False,False,True,False,False,False,True,False,False
12,Molded Pulp,6.909729556485983,17.28,0.83,0.896616777554134,54.85,13.64,68.96,0.025958795474671077,0.014933466816835607,0.48369378236759364,0.2561669829222012,0.83,0.9740412045253289,0.784517432856936,0.7124444943930321,True,False,False,False,False,True,False,False,False,False
13,Compostable Film,6.664885281600844,2.82,0.94,1.95,72.67,116.51,17.54,0.11848873669443898,0.44404121303132693,0.4427790059896896,0.5635673624288425,0.94,0.8815112633055611,0.5106868745770796,0.6901164707206757,False,False,False,False,False,False,False,True,False,False
14,Aluminum,8.424678221356553,5.66,0.09,10.67019959716588,80.3,232.07,61.19,0.8844773521926972,0.9260835106161098,0.7368497357843576,0.6951871657754011,0.09,0.11552264780730281,0.3390897879440772,0.34565164806172616,False,False,True,False,False,True,False,False,False,False
15,Kraft Paper,4.545474901621302,16.41,0.53,0.6668747196842677,91.23,39.19,51.75,0.005778087582772112,0.12151170066324614,0.08861429541783217,0.8837329653268933,0.53,0.9942219124172279,0.5625386977691851,0.7040092707746265,True,False,False,False,False,False,True,False,False,False
16,Recycled PET,6.366809019706867,6.9,0.29,2.93578898701486,60.45,37.43,19.82,0.20508115157246043,0.11417010803820965,0.3929688823726483,0.3527686734517855,0.29,0.7949188484275396,0.6886854881261335,0.5639976494874172,False,False,False,True,False,False,False,False,False,True
17,HDPE,6.6084844859190754,22.31,0.18,3.11,49.76,29.69,55.23,0.22038397247169836,0.08188378592583324,0.4333541340218318,0.16836294635156113,0.18,0.7796160275283016,0.7242113820532328,0.5189456564442941,False,False,False,True,False,False,True,False,False,False
18,Bioplastic PLA,6.049512863264476,11.35,0.55,1.6776515181058436,81.31,56.29,94.8,0.09456544981841855,0.19284194719058942,0.3399470124820861,0.7126099706744868,0.55,0.9054345501815815,0.6202736366784807,0.6857154696072005,False,False,False,False,False,False,True,False,False,False
19,HDPE,6.863890037284231,15.28,0.11,3.36,76.79,71.26,52.78,0.24234415259610773,0.2552871980978601,0.47603375569026923,0.6346386061756082,0.11,0.7576558474038922,0.6372411834173917,0.5776381468796641,False,False,False,True,False,False,True,False,False,False
20,Compostable Film,5.582458280396084,23.44,0.86,1.48,82.24,80.46,61.91,0.07720359806054941,0.29366370500145994,0.26189971558980596,0.7286527514231498,0.86,0.9227964019394506,0.5285616632350465,0.7098998582342074,False,False,False,False,False,False,False,False,False,False
21,Glass,8.22370578944476,11.81,0.08,1.4692867705403794,50.82,84.89,58.18,0.07626254026595983,0.31214282734743254,0.7032661769543543,0.18664826634466103,0.08,0.9237374597340402,0.6940207743732822,0.5702827024779002,False,True,False,False,False,False,False,False,False,False
22,HDPE,6.278987721304084,11.22,0.17,4.11,50.11,72.18,39.81,0.3082246929693358,0.2591248487882201,0.3782934778239706,0.17440055200966018,0.17,0.6917753070306643,0.5958424818566562,0.45470267075769244,False,False,False,True,False,False,False,False,True,False
23,Paperboard,4.876433945605655,23.38,0.53,0.7176099454214044,80.36,30.57,20.75,0.01023470636613248,0.08555458223835147,0.1439193062506037,0.696222183888218,0.53,0.9897652936338676,0.6062349731572305,0.6816246987821719,True,False,False,False,False,False,True,False,False,False
24,Recycled PET,6.732723686587383,6.35,0.13,3.105310617416273,92.22,66.98,35.51,0.21997205372685474,0.2374337796687941,0.45411516310898525,0.9008107641883732,0.13,0.7800279462731452,0.6391857974423176,0.6388785023910962,False,False,False,True,False,False,False,False,True,False
25,Molded Pulp,5.368209952651108,18.15,0.93,1.20395795428026,77.24,17.57,19.55,0.052955865876885694,0.03132690943978643,0.22609768418377102,0.6424012420217353,0.93,0.9470441341231143,0.6716429280096365,0.7426139890620677,True,False,False,False,True,False,False,False,False,False
26,Glass,8.570351922786028,8.7,0.09,1.1733918400726204,56.47,116.64,48.71,0.05027091638207356,0.44458348975931256,0.7611925835839419,0.28411247196825945,0.09,0.9497290836179264,0.6377269395779892,0.5907922127319212,False,True,False,False,False,False,False,False,True,False
27,Molded Pulp,4.599021346475079,14.82,0.54,0.6670001888641132,83.3,68.47,81.43,0.005789108885929985,0.24364910524339883,0.0975621902299606,0.7469380714162498,0.54,0.99421089111407,0.4928354129459449,0.6616159538769532,True,False,False,False,False,True,False,False,False,False
28,Corrugated Cardboard,5.542703315240835,17.72,0.78,0.6165470102324354,74.21,98.1,48.81,0.001357265323527408,0.36724648562966666,0.25525645015098186,0.5901328273244781,0.78,0.9986427346764726,0.48175468868259275,0.6805837030535837,True,False,False,False,False,False,True,False,False,False
29,Steel,9.184829137724083,8.3,0.06,2.249380050310286,90.12,134.53,49.93,0.14478649601631347,0.5192091102490302,0.8638749838577569,0.8645851302397793,0.06,0.8552135039836866,0.6340245273936846,0.6833747074772587,False,False,True,False,True,False,False,False,False,False
30,Bioplastic PLA,5.092900825439996,2.78,1.0,1.910641054133171,56.21,137.18,72.29,0.11503141853146923,0.5302632127810454,0.1800920694724496,0.2796273934793859,1.0,0.8849685814685307,0.3538789001203526,0.5778949851137696,False,False,False,False,True,False,False,False,False,False
31,Bioplastic PHA,6.215089703802876,19.4,0.98,1.820046119071105,57.08,82.36,81.6,0.10707349416218069,0.3015892879489426,0.3676157803434812,0.294635156115232,0.98,0.8929265058378193,0.566092739368027,0.6520897458507471,False,False,False,False,False,True,False,False,False,False
32,Molded Pulp,4.511572371061875,9.43,0.82,0.7623629672811828,45.64,65.35,94.1,0.014165844050741927,0.23063446377174318,0.08294900282671591,0.0972917026047956,0.82,0.985834155949258,0.4947989228676404,0.5702032183053182,True,False,False,False,False,False,False,True,False,False
33,Paperboard,4.195154778955839,17.79,0.84,0.8736341971338603,80.74,42.35,31.42,0.023939989051659335,0.1346931965127435,0.03007394569447714,0.7027772986027254,0.84,0.9760600109483407,0.5312136603701447,0.6951842726670312,True,False,False,False,False,False,False,False,False,True
