material_id,material_name,material_type,product_category,strength_score,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_unit,recycled_content_percent,norm_co2,norm_cost,norm_strength,norm_recyclability,norm_biodegradability,co2_impact_index,cost_efficiency_index,material_suitability_score
1,Aluminum,Metal,Pharmaceuticals,8.749080237694725,15.18,0.06,9.413685517210872,49.05,108.71,82.96,0.774124116760221,0.41150460935218786,0.7910590325352987,0.15611523201656025,0.06,0.22587588323977903,0.6695208474028067,0.35447192647947734
2,Bioplastic PLA,Bioplastic,Cosmetics,6.901428612819832,19.46,0.9,1.3553058384617231,50.55,60.17,32.38,0.06633249277332513,0.20902682184123805,0.48230665067343637,0.1819906848369846,0.9,0.9336675072266749,0.6675065671646316,0.6666056959939008
3,Glass,Glass,E-commerce,8.46398788362281,7.24,0.06,1.6244204121950894,56.94,123.96,46.05,0.0899696318477708,0.4751178409043507,0.743418588749653,0.29222011385199237,0.06,0.9100303681522292,0.6122967309572508,0.5678691748303453
4,Tinplate,Metal,Automotive,9.197316968394071,20.28,0.06,4.09,75.24,125.58,10.85,0.3065288720537699,0.48187544320694115,0.8659617665670826,0.6079006382611695,0.06,0.6934711279462301,0.6572594407026684,0.5895325028684784
5,Bioplastic PLA,Bioplastic,Electronics,5.312037280884873,25.21,0.58,1.4122090533222045,79.69,88.42,15.98,0.07133047257345625,0.32686772619196597,0.21671093293160035,0.6846644816284285,0.58,0.9286695274265437,0.4905637374574606,0.6468457822111741
6,Rigid PVC,Plastic,Retail,6.3119890406724055,9.04,0.15,4.39,64.66,28.71,56.09,0.33287877062655946,0.07779585366871063,0.38380817324727223,0.4253924443677764,0.15,0.6671212293734405,0.7068457570976825,0.5228071142847354
7,Rigid PVC,Plastic,Retail,6.116167224336399,10.1,0.22,4.82,82.18,39.39,56.34,0.3706469585808912,0.12234597255245484,0.3510853095860276,0.7276177333103331,0.22,0.6293530414191089,0.6670265403029381,0.5691946251221366
8,LDPE,Plastic,Electronics,7.73235229154987,26.11,0.32,3.85,74.03,96.87,59.63,0.28544895319553826,0.3621157135110333,0.6211584025401831,0.5870277729860273,0.32,0.7145510468044618,0.6311939329094532,0.5996851921199257
9,Rigid PVC,Plastic,Electronics,7.202230023486417,9.13,0.1,3.56,62.9,36.41,6.27,0.259977384575175,0.1099153214032453,0.5325721610977865,0.3950319130584785,0.1,0.7400226154248251,0.7470796715971674,0.5560403012482137
10,Molded Pulp,Fiber,Electronics,6.124217733388137,24.75,0.76,1.175830022959575,77.76,92.35,81.5,0.050568594324157466,0.34326116881491675,0.35243059232843466,0.6513713989994826,0.76,0.9494314056758425,0.5350155356424238,0.6981006446460986
11,LDPE,Plastic,Food,6.041168988591605,4.34,0.3,4.16,74.3,34.72,55.51,0.31267718172075415,0.10286572393943186,0.33855270678910665,0.5916853544937036,0.3,0.6873228182792459,0.6737016483519835,0.5718145991494211
12,Molded Pulp,Fiber,E-commerce,6.909729556485983,17.28,0.83,0.896616777554134,54.85,13.64,68.96,0.02604445866878155,0.014933466816835607,0.48369378236759364,0.2561669829222012,0.83,0.9739555413312184,0.784517432856936,0.712418795434799
13,Compostable Film,Bioplastic,Food,6.664885281600844,2.82,0.94,1.95,72.67,116.51,17.54,0.11856626223453758,0.44404121303132693,0.4427790059896896,0.5635673624288425,0.94,0.8814337377654624,0.5106868745770796,0.6900932130586461
14,Aluminum,Metal,E-commerce,8.424678221356553,5.66,0.09,10.67019959716588,80.3,232.07,61.19,0.8844875119672091,0.9260835106161098,0.7368497357843576,0.6951871657754011,0.09,0.1155124880327909,0.3390897879440772,0.3456486001293726
15,Kraft Paper,Fiber,Electronics,4.545474901621302,16.41,0.53,0.6668747196842677,91.23,39.19,,0.005865525592865111,0.12151170066324614,0.08861429541783217,0.8837329653268933,0.53,0.9941344744071349,0.5625386977691851,0.7039830393715987
16,Recycled PET,Plastic,Retail,6.366809019706867,6.9,0.29,2.93578898701486,60.45,37.43,19.82,0.20515106164125274,0.11417010803820965,0.3929688823726483,0.3527686734517855,0.29,0.7948489383587473,0.6886854881261335,0.5639766764667795
17,HDPE,Plastic,Electronics,6.6084844859190754,22.31,0.18,3.11,49.76,29.69,55.23,0.2204525367159906,0.08188378592583324,0.4333541340218318,0.16836294635156113,0.18,0.7795474632840094,0.7242113820532328,0.5189250871710065
18,Bioplastic PLA,Bioplastic,Electronics,6.049512863264476,11.35,0.55,1.6776515181058436,81.31,56.29,94.8,0.09464507931999011,0.19284194719058942,0.3399470124820861,0.7126099706744868,0.55,0.9053549206800099,0.6202736366784807,0.6856915807567291
19,HDPE,Plastic,Electronics,6.863890037284231,15.28,0.11,3.36,76.79,71.26,52.78,0.24241078552664858,0.2552871980978601,0.47603375569026923,0.6346386061756082,0.11,0.7575892144733514,0.6372411834173917,0.5776181570005018
20,Compostable Film,Bioplastic,Automotive,5.582458280396084,23.44,0.86,1.48,82.24,80.46,61.91,0.07728475447050057,0.29366370500145994,0.26189971558980596,0.7286527514231498,0.86,0.9227152455294995,0.5285616632350465,0.7098755113112221
21,Glass,Glass,Automotive,8.22370578944476,11.81,0.08,1.4692867705403794,50.82,84.89,58.18,0.07634377943834049,0.31214282734743254,0.7032661769543543,0.18664826634466103,0.08,0.9236562205616595,0.6940207743732822,0.570258330726186
22,HDPE,Plastic,Pharmaceuticals,6.278987721304084,11.22,0.17,4.11,50.11,72.18,39.81,0.30828553195862257,0.2591248487882201,0.3782934778239706,0.17440055200966018,0.17,0.6917144680413774,0.5958424818566562,0.4546844190609064
23,Paperboard,Fiber,Electronics,4.876433945605655,23.38,0.53,0.7176099454214044,80.36,30.57,20.75,0.010321752433668898,0.08555458223835147,0.1439193062506037,0.696222183888218,0.53,0.989678247566331,0.6062349731572305,0.681598584961911
24,Recycled PET,Plastic,Pharmaceuticals,6.732723686587383,6.35,0.13,3.105310617416273,92.22,66.98,35.51,0.22004065419782323,0.2374337796687941,0.45411516310898525,0.9008107641883732,0.13,0.7799593458021767,0.6391857974423176,0.6388579222498056
25,Molded Pulp,Fiber,Cosmetics,5.368209952651108,18.15,0.93,1.20395795428026,77.24,17.57,19.55,0.05303915478203228,0.03132690943978643,0.22609768418377102,0.6424012420217353,0.93,0.9469608452179678,0.6716429280096365,0.7425890023905236
26,Glass,Glass,Pharmaceuticals,8.570351922786028,8.7,0.09,1.1733918400726204,56.47,116.64,48.71,0.050354441418246916,0.44458348975931256,0.7611925835839419,0.28411247196825945,0.09,0.949645558581753,0.6377269395779892,0.5907671552210692
27,Molded Pulp,Fiber,E-commerce,4.599021346475079,14.82,0.54,0.6670001888641132,83.3,68.47,81.43,0.0058765459267415745,0.24364910524339883,0.0975621902299606,0.7469380714162498,0.54,0.9941234540732584,0.4928354129459449,0.6615897227647097
28,Corrugated Cardboard,Fiber,Electronics,5.542703315240835,17.72,0.78,0.6165470102324354,74.21,98.1,48.81,0.0014450921280097636,0.36724648562966666,0.25525645015098186,0.5901328273244781,0.78,0.9985549078719902,0.48175468868259275,0.680557355012239
29,Steel,Metal,Cosmetics,9.184829137724083,8.3,0.06,2.249380050310286,90.12,134.53,49.93,0.14486170876917984,0.5192091102490302,0.8638749838577569,0.8645851302397793,0.06,0.8551382912308202,0.6340245273936846,0.6833521436513987
30,Bioplastic PLA,Bioplastic,Cosmetics,5.092900825439996,2.78,1.0,1.910641054133171,56.21,137.18,72.29,0.11510924812946138,0.5302632127810454,0.1800920694724496,0.2796273934793859,1.0,0.8848907518705387,0.3538789001203526,0.5778716362343719
31,Bioplastic PHA,Bioplastic,E-commerce,6.215089703802876,19.4,0.98,1.820046119071105,57.08,82.36,81.6,0.10715202362914839,0.3015892879489426,0.3676157803434812,0.294635156115232,0.98,0.8928479763708517,0.566092739368027,0.6520661870106568
32,Molded Pulp,Fiber,Food,4.511572371061875,9.43,0.82,0.7623629672811828,45.64,65.35,94.1,0.014252544389772213,0.23063446377174318,0.08294900282671591,0.0972917026047956,0.82,0.9857474556102278,0.4947989228676404,0.5701772082036091
33,Paperboard,Fiber,Retail,4.195154778955839,17.79,0.84,0.8736341971338603,80.74,42.35,31.42,0.024025829792064236,0.1346931965127435,0.03007394569447714,0.7027772986027254,0.84,0.9759741702079358,0.5312136603701447,0.6951585204449098
34,Aluminum,Metal,Food,9.897771074506666,8.8,0.09,10.377905340744691,69.09,219.74,63.5,0.8588144319335183,0.874650648646394,0.9830113611635906,0.5018112816974297,0.09,0.14118556806648175,0.46841415527759983,0.3716226016951895
35,Kraft Paper,Fiber,Automotive,6.896896099223678,,0.63,0.9477368012014186,73.54,13.23,46.9,0.030534483462596722,0.013223209443957787,0.48154924362234863,0.5785751250646888,0.63,0.9694655165374033,0.7846857717825647,0.7453810472820348
36,Tinplate,Metal,Automotive,9.616794696232922,21.82,0.0,4.07,87.71,154.03,16.44,0.30477221214891725,0.6005506194468777,0.9360587187547099,0.8230119027082973,0.0,0.6952277878510827,0.6140931158337574,0.6202998677308946
37,Corrugated Cardboard,Fiber,E-commerce,4.913841307520112,19.37,0.67,1.291449864150421,51.27,47.02,67.96,0.0607238312854269,0.1541734451257665,0.15017027474204728,0.1944109021907884,0.67,0.9392761687145731,0.567564042821359,0.578073069232074
38,Steel,Metal,Pharmaceuticals,8.195344228012768,19.45,0.07,1.8955078267897127,63.13,,71.96,0.11378005144419774,,0.698526809679941,0.39899948249094364,0.07,0.8862199485558022,,
