material_id,material_name,material_type,product_category,strength_score,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_unit,recycled_content_percent
1,Aluminum,Metal,Pharmaceuticals,8.749080237694725,15.18,0.06,9.413685517210872,49.05,108.71,82.96
2,Bioplastic PLA,Bioplastic,Cosmetics,6.901428612819832,19.46,0.9,1.3553058384617231,50.55,60.17,32.38
3,Glass,Glass,E-commerce,8.46398788362281,7.24,0.06,1.6244204121950894,56.94,123.96,46.05
4,Tinplate,Metal,Automotive,9.197316968394073,20.28,0.06,4.09,75.24,125.58,10.85
5,Bioplastic PLA,Bioplastic,Electronics,5.312037280884873,25.21,0.58,1.4122090533222043,79.69,88.42,15.98
6,Rigid PVC,Plastic,Retail,6.3119890406724055,9.04,0.15,4.39,64.66,28.71,56.09
7,Rigid PVC,Plastic,Retail,6.116167224336399,10.1,0.22,4.82,82.18,39.39,56.34
8,LDPE,Plastic,Electronics,7.73235229154987,26.11,0.32,3.85,74.03,96.87,59.63
9,Rigid PVC,Plastic,Electronics,7.202230023486417,9.13,0.1,3.56,62.9,36.41,6.27
10,Molded Pulp,Fiber,Electronics,6.124217733388137,24.75,0.76,1.175830022959575,77.76,92.35,81.5
11,LDPE,Plastic,Food,6.041168988591605,4.34,0.3,4.16,74.3,34.72,55.51
12,Molded Pulp,Fiber,E-commerce,6.909729556485983,17.28,0.83,0.896616777554134,54.85,13.64,68.96
13,Compostable Film,Bioplastic,Food,6.664885281600844,2.82,0.94,1.95,72.67,116.51,17.54
14,Aluminum,Metal,E-commerce,8.424678221356553,5.66,0.09,10.670199597165881,80.3,232.07,61.19
15,Kraft Paper,Fiber,Electronics,4.545474901621302,16.41,0.53,0.6668747196842677,91.23,39.19,
16,Recycled PET,Plastic,Retail,6.366809019706867,6.9,0.29,2.9357889870148597,60.45,37.43,19.82
17,HDPE,Plastic,Electronics,6.6084844859190754,22.31,0.18,3.11,49.76,29.69,55.23
18,Bioplastic PLA,Bioplastic,Electronics,6.049512863264476,11.35,0.55,1.6776515181058436,81.31,56.29,94.8
19,HDPE,Plastic,Electronics,6.863890037284231,15.28,0.11,3.36,76.79,71.26,52.78
20,Compostable Film,Bioplastic,Automotive,5.582458280396084,23.44,0.86,1.48,82.24,80.46,61.91
21,Glass,Glass,Automotive,8.22370578944476,11.81,0.08,1.4692867705403794,50.82,84.89,58.18
22,HDPE,Plastic,Pharmaceuticals,6.278987721304084,11.22,0.17,4.11,50.11,72.18,39.81
23,Paperboard,Fiber,Electronics,4.876433945605655,23.38,0.53,0.7176099454214044,80.36,30.57,20.75
24,Recycled PET,Plastic,Pharmaceuticals,6.732723686587383,6.35,0.13,3.105310617416273,92.22,66.98,35.51
25,Molded Pulp,Fiber,Cosmetics,5.368209952651108,18.15,0.93,1.20395795428026,77.24,17.57,19.55
26,Glass,Glass,Pharmaceuticals,8.570351922786028,8.7,0.09,1.1733918400726204,56.47,116.64,48.71
27,Molded Pulp,Fiber,E-commerce,4.599021346475079,14.82,0.54,0.6670001888641132,83.3,68.47,81.43
28,Corrugated Cardboard,Fiber,Electronics,5.542703315240835,17.72,0.78,0.6165470102324354,74.21,98.1,48.81
